reaction_id,flux,absolute_flux
HPPK2,0.0005867111364515939,0.0005867111364515939
GTPCI,0.0005867111364515938,0.0005867111364515938
PAI2I,0.00039289475206326385,0.00039289475206326385
PAI2T,0.00039289475206326385,0.00039289475206326385
AI2K,0.0003928947520632638,0.0003928947520632638
RHCCE,0.0003928947520632638,0.0003928947520632638
AHCYSNS,0.0003928947520632638,0.0003928947520632638
NADK,0.00039201775484814985,0.00039201775484814985
RBFSb,0.00039114075763448596,0.00039114075763448596
GTPCII2,0.0003911407576344859,0.0003911407576344859
APRAUR,0.0003911407576344859,0.0003911407576344859
PMDPHT,0.0003911407576344859,0.0003911407576344859
DHPPDA2,0.0003911407576344859,0.0003911407576344859
UPP3S,0.00039114075763442975,0.00039114075763442975
HMBS,0.00039114075763442975,0.00039114075763442975
E4PD,-0.0003911407576343793,0.0003911407576343793
PERD,-0.0003911407576343793,0.0003911407576343793
OHPBAT,-0.0003911407576343793,0.0003911407576343793
ZN2tpp,0.0002990560501195976,0.0002990560501195976
EX_zn2_e,-0.0002990560501195976,0.0002990560501195976
Zn2tex,0.0002990560501195976,0.0002990560501195976
NI2tex,0.0002832701002599122,0.0002832701002599122
NI2tpp,0.0002832701002599122,0.0002832701002599122
EX_ni2_e,-0.0002832701002599122,0.0002832701002599122
I2FE2SS,0.0002508212033261141,0.0002508212033261141
GRTT,0.0002438052256106959,0.0002438052256106959
DMPPS,0.00024380522561069588,0.00024380522561069588
DMATT,0.00024380522561069588,0.00024380522561069588
I4FE4ST,0.00022801927575101286,0.00022801927575101286
I2FE2SS2,0.00022801927575101286,0.00022801927575101286
I4FE4SR,0.00022801927575101286,0.00022801927575101286
5DOAN,0.0001973243732460688,0.0001973243732460688
DM_5drib_c,0.0001973243732460688,0.0001973243732460688
FMNAT,0.00019557037881727112,0.00019557037881727112
RBFK,0.00019557037881727112,0.00019557037881727112
OPHBDC,0.0001955703788172149,0.0001955703788172149
OPHHX3,0.0001955703788172149,0.0001955703788172149
OCTDPS,0.0001955703788172149,0.0001955703788172149
HBZOPT,0.0001955703788172149,0.0001955703788172149
FCLT,0.00019557037881721487,0.00019557037881721487
CPPPGO,0.00019557037881721487,0.00019557037881721487
SHCHD2,0.00019557037881721487,0.00019557037881721487
AMPMS2,0.00019557037881721487,0.00019557037881721487
PDX5PS,0.00019557037881721487,0.00019557037881721487
PDX5PO2,0.00019557037881721487,0.00019557037881721487
SHCHF,0.00019557037881721487,0.00019557037881721487
TMPK,0.00019557037881721487,0.00019557037881721487
UPPDC1,0.00019557037881721485,0.00019557037881721485
UPP3MT,0.00019557037881721485,0.00019557037881721485
CHRPL,0.00019557037881721485,0.00019557037881721485
TMPPP,0.00019557037881721485,0.00019557037881721485
PMPK,0.00019557037881721485,0.00019557037881721485
DM_4crsol_c,0.00019557037881721485,0.00019557037881721485
TYRL,0.00019557037881721482,0.00019557037881721482
PPPGO3,0.00019557037881721482,0.00019557037881721482
THZPSN3,0.00019557037881721482,0.00019557037881721482
UDCPDPS,4.8234846793481004e-05,4.8234846793481004e-05
I2FE2ST,2.455592200395523e-05,2.455592200395523e-05
EX_cobalt2_e,-2.1924930360674316e-05,2.1924930360674316e-05
COBALT2tex,2.1924930360674316e-05,2.1924930360674316e-05
COBALT2tpp,2.1924930360674316e-05,2.1924930360674316e-05
EX_mobd_e,-6.1389805009888085e-06,6.1389805009888085e-06
MOBDtex,6.1389805009888085e-06,6.1389805009888085e-06
MOBDabcpp,6.1389805009888085e-06,6.1389805009888085e-06
DBTS,1.7539944288539456e-06,1.7539944288539456e-06
EX_meoh_e,1.7539944288539453e-06,1.7539944288539453e-06
MEOHtrpp,-1.7539944288539453e-06,1.7539944288539453e-06
EPMEACPR,1.7539944288539453e-06,1.7539944288539453e-06
AMAOTr,1.7539944288539453e-06,1.7539944288539453e-06
